ticker,company,cik,index_name
ALRM,"Alarm.Com, Inc.",0001459200,SP600SmallCap
AMN,"Amn Healthcare Services, Inc.",0001142750,SP600SmallCap
AMPH,"Amphstar Pharmaceuticals, Inc.",0001297184,SP600SmallCap
AMR,"Alpha Metallurgical Resources, Inc.",0001704715,SP600SmallCap
AMRX,Amneal Pharmaceuticals,0001723128,SP600SmallCap
AMSF,"Amerisafe, Inc.",0001018979,SP600SmallCap
AMTM,Amentum,0002011286,SP600SmallCap
AMWD,American Woodmark Corp.,0000794619,SP600SmallCap
ANDE,"The Andersons, Inc.",0000821026,SP600SmallCap
ANIP,"ANI Pharmaceuticals, Inc.",0001023024,SP600SmallCap
AORT,Artivion,0000784199,SP600SmallCap
AOSL,"Alpha and Omega Semiconductor, Ltd.",0001387467,SP600SmallCap
APAM,"Artisan Partners Asset Management, Inc.",0001517302,SP600SmallCap
APLE,"Apple Hospitality REIT, Inc.",0001418121,SP600SmallCap
APOG,"Apogee Enterprises, Inc.",0000006845,SP600SmallCap
ARCB,ArcBest Corp.,0000894405,SP600SmallCap
ARI,Apollo Commercial Real Estate Finance,0001467760,SP600SmallCap
ARLO,Arlo Technologies,0001736946,SP600SmallCap
AROC,"Archrock, Inc.",0001389050,SP600SmallCap
ARR,Armour Residential REIT,0001428205,SP600SmallCap
EFOR,Everforth Inc.,0000890564,SP600SmallCap
ASO,Academy Sports + Outdoors,0001817358,SP600SmallCap
ASTE,"Astec Industries, Inc.",0000792987,SP600SmallCap
ASTH,"Astrana Health, Inc.",0001083446,SP600SmallCap
ATEN,"A10 Networks, Inc.",0001580808,SP600SmallCap
ATMU,Atmus Filtration Technologies Inc.,0001921963,SP600SmallCap
AUB,"Atlantic Union Bankshares, Corp.",0000883948,SP600SmallCap
AVA,Avista Corporation,0000104918,SP600SmallCap
AVNS,"Avanos Medical, Inc.",0001606498,SP600SmallCap
AWI,"Armstrong World Industries, Inc.",0000007431,SP600SmallCap
AWR,American States Water Company,0001056903,SP600SmallCap
AX,"Axos Financial, Inc.",0001299709,SP600SmallCap
AZTA,"Azenta, Inc.",0000933974,SP600SmallCap
AZZ,"AZZ, Inc.",0000008947,SP600SmallCap
BANC,"Banc Of California, Inc.",0001169770,SP600SmallCap
BANF,Bancfirst Corp,0000760498,SP600SmallCap
BANR,Banner Corporation,0000946673,SP600SmallCap
BBT,Beacon Financial Corp.,0001108134,SP600SmallCap
BCC,Boise Cascade,0001328581,SP600SmallCap
BCPC,Balchem Corporation,0000009326,SP600SmallCap
BFAM,Bright Horizons Family Solutions Inc.,0001437578,SP600SmallCap
BFH,"Bread Financial Holdings, Inc.",0001101215,SP600SmallCap
BFS,"Saul Centers, Inc.",0000907254,SP600SmallCap
BGC,"BGC Group, Inc.",0001094831,SP600SmallCap
BHE,"Benchmark Electronics, Inc.",0000863436,SP600SmallCap
BJRI,"BJ's Restaurants, Inc.",0001013488,SP600SmallCap
BKE,"The Buckle, Inc.",0000885245,SP600SmallCap
BKU,"BankUnited, Inc.",0001504008,SP600SmallCap
BL,"BlackLine Systems, Inc.",0001666134,SP600SmallCap
BLFS,"BioLife Solutions, Inc.",0000834365,SP600SmallCap
BMI,"Badger Meter, Inc.",0000009092,SP600SmallCap
BNL,"Broadstone Net Lease, Inc.",0001424182,SP600SmallCap
BOH,Bank of Hawaii,0000046195,SP600SmallCap
BOOT,"Boot Barn Holdings, Inc.",0001610250,SP600SmallCap
BOX,"Box, Inc.",0001372612,SP600SmallCap
BRC,Brady Corporation,0000746598,SP600SmallCap
BTSG,"BrightSpring Health Services, Inc.",0001865782,SP600SmallCap
